Timestamp,How many Facebook friends do you have?
1/2/2013 16:59:06,0
1/2/2013 15:20:50,69
1/2/2013 16:16:51,123
1/2/2013 18:14:04,137
1/2/2013 20:04:27,174
1/2/2013 16:59:09,240
1/2/2013 15:19:48,241
1/2/2013 16:35:58,256
1/2/2013 16:28:28,258
1/2/2013 23:18:28,322
1/2/2013 16:17:02,366
1/2/2013 16:30:23,376
1/2/2013 15:26:34,408
1/2/2013 17:56:35,479
1/2/2013 15:56:00,555
1/2/2013 15:19:35,589
1/3/2013 10:20:51,600
1/2/2013 15:39:28,777
1/2/2013 15:21:24,784
1/2/2013 15:46:07,822
1/2/2013 16:53:47,850
1/2/2013 16:23:35,863
1/2/2013 15:20:15,1116
1/2/2013 16:24:46,1143
1/2/2013 15:21:11,1214
1/7/2013 18:15:32,1250
1/2/2013 15:26:57,1776